target,channel,price_bin,checks_in_segment,rank,item,checks_with_item,attach_rate,attach_revenue_sum,avg_attach_sum,segment_reliable,attach_rate_ci_low,attach_rate_ci_high
pillow,non_marketplace,10-20k,17591,8,Постельное белье,429,0.0244,5061147.18,11797.55,1,0.0222,0.0268
pillow,non_marketplace,20-30k,2477,1,Одеяло,462,0.1865,9634163.74,20853.17,1,0.1717,0.2023
pillow,non_marketplace,20-30k,2477,2,Матрас,403,0.1627,32645254.73,81005.59,1,0.1487,0.1778
pillow,non_marketplace,20-30k,2477,3,Наволочка,323,0.1304,2069847.83,6408.2,1,0.1177,0.1442
pillow,non_marketplace,20-30k,2477,4,Кровать/каркас,139,0.0561,9879347.11,71074.44,1,0.0477,0.0659
pillow,non_marketplace,20-30k,2477,5,Постельное белье,115,0.0464,1461791.74,12711.23,1,0.0388,0.0554
pillow,non_marketplace,20-30k,2477,6,Основание/ламели,97,0.0392,1663979.88,17154.43,1,0.0322,0.0475
pillow,non_marketplace,20-30k,2477,7,Простыня,83,0.0335,519053.42,6253.66,1,0.0271,0.0413
pillow,non_marketplace,20-30k,2477,8,Наматрасник/топпер,72,0.0291,905287.01,12573.43,1,0.0231,0.0364
pillow,non_marketplace,30k+,1007,1,Одеяло,338,0.3357,13701420.04,40536.75,1,0.3072,0.3654
pillow,non_marketplace,30k+,1007,2,Матрас,191,0.1897,21821849.2,114250.52,1,0.1667,0.215
pillow,non_marketplace,30k+,1007,3,Наволочка,134,0.1331,1131507.18,8444.08,1,0.1135,0.1554
pillow,non_marketplace,30k+,1007,4,Постельное белье,71,0.0705,2703297.3,38074.61,1,0.0563,0.088
pillow,non_marketplace,30k+,1007,5,Простыня,61,0.0606,512795.43,8406.48,1,0.0474,0.077
pillow,non_marketplace,30k+,1007,6,Кровать/каркас,45,0.0447,3601113.56,80024.75,1,0.0336,0.0593
pillow,non_marketplace,30k+,1007,7,Наматрасник/топпер,34,0.0338,804336.3,23656.95,1,0.0243,0.0468
pillow,non_marketplace,30k+,1007,8,Другая мебель,34,0.0338,1720700.21,50608.83,1,0.0243,0.0468
