target,channel_view,price_bin,mattress_size,mattress_firmness,pillow_size,pillow_type,checks_in_segment,confidence,segment_reliable,cross_sell_top_2,cross_sell_support_2,cross_sell_rate_2,cross_sell_rate_2_ci_low,cross_sell_rate_2_ci_high,cross_sell_2_expected_value,cross2_best_weekday,cross2_best_hour_bucket,cross2_best_month,cross2_best_opportunity_score,cross_sell_top_3,cross_sell_support_3,cross_sell_rate_3,cross_sell_rate_3_ci_low,cross_sell_rate_3_ci_high,cross_sell_3_expected_value,cross3_best_weekday,cross3_best_hour_bucket,cross3_best_month,cross3_best_opportunity_score,upsell_top_2,upsell_support_2,upsell_rate_2,upsell_rate_2_ci_low,upsell_rate_2_ci_high,upsell_avg_sum_2,upsell_top_3,upsell_support_3,upsell_rate_3,upsell_rate_3_ci_low,upsell_rate_3_ci_high,upsell_avg_sum_3
pillow,all,3-5k,unknown,unknown,50x70,synthetic,4231,high,1,Наволочка,248,0.0586,0.0519,0.0661,165.77,,,,,Косметика/гигиена,133,0.0314,0.0266,0.0371,37.14,,,,,Другая мебель,68,0.0161,0.0127,0.0203,6223.36,Одеяло,365,0.0863,0.0782,0.0951,4962.21
pillow,all,3-5k,unknown,unknown,50x70,unknown,76437,high,1,Наволочка,4357,0.057,0.0554,0.0587,151.15,Пятница,Вечер (18-23),2025-08,68928.36,Косметика/гигиена,3797,0.0497,0.0482,0.0512,52.93,Понедельник,Ночь (00-05),2025-08,82160.64,Другая мебель,2302,0.0301,0.0289,0.0314,9298.69,Постельное белье,2782,0.0364,0.0351,0.0377,4564.32
pillow,all,3-5k,unknown,unknown,60x60,down,385,low,1,Наволочка,12,0.0312,0.0179,0.0537,35.6,,,,,Другая мебель,8,0.0208,0.0106,0.0405,41.36,,,,,Наматрасник/топпер,3,0.0078,0.0027,0.0227,3987.67,Матрас,6,0.0156,0.0072,0.0336,3646.5
pillow,all,3-5k,unknown,unknown,70x70,anatomic,11505,high,1,Наволочка,804,0.0699,0.0654,0.0747,161.48,Воскресенье,Вечер (18-23),2024-11,20267.44,Косметика/гигиена,479,0.0416,0.0381,0.0454,40.79,,,2025-07,14701.39,Другая мебель,262,0.0228,0.0202,0.0257,3830.67,Постельное белье,470,0.0409,0.0374,0.0446,3171.83
pillow,all,3-5k,unknown,unknown,70x70,down,52307,high,1,Наволочка,2656,0.0508,0.0489,0.0527,110.4,Среда,Вечер (18-23),2024-01,66507.74,Косметика/гигиена,1422,0.0272,0.0258,0.0286,25.83,Понедельник,Ночь (00-05),2025-10,23371.2,Одеяло,2915,0.0557,0.0538,0.0577,3331.37,Постельное белье,1047,0.02,0.0189,0.0213,3235.4
pillow,all,3-5k,unknown,unknown,70x70,memory,670,low,1,Одеяло,23,0.0343,0.023,0.051,84.03,,,,,Косметика/гигиена,22,0.0328,0.0218,0.0492,24.85,,,,,Наволочка,37,0.0552,0.0403,0.0752,1920.94,Косметика/гигиена,22,0.0328,0.0218,0.0492,756.91
pillow,all,3-5k,unknown,unknown,70x70,orthopedic,747,medium,1,Детские товары,37,0.0495,0.0361,0.0675,69.47,,,,,Косметика/гигиена,34,0.0455,0.0328,0.0629,24.94,,,,,Наволочка,38,0.0509,0.0373,0.0691,1747.91,Детские товары,37,0.0495,0.0361,0.0675,1402.54
pillow,all,3-5k,unknown,unknown,70x70,synthetic,3807,high,1,Наволочка,253,0.0665,0.059,0.0748,178.03,,,2024-02,25058.1,Косметика/гигиена,117,0.0307,0.0257,0.0367,29.5,,,,,Постельное белье,66,0.0173,0.0137,0.022,3509.64,Одеяло,269,0.0707,0.0629,0.0792,3233.35
pillow,all,3-5k,unknown,unknown,70x70,unknown,30901,high,1,Наволочка,2223,0.0719,0.0691,0.0749,164.92,Пятница,Ночь (00-05),2024-01,39720.61,Косметика/гигиена,1734,0.0561,0.0536,0.0587,50.71,Суббота,Ночь (00-05),2025-08,51698.65,Другая мебель,1038,0.0336,0.0316,0.0357,5295.86,Постельное белье,1643,0.0532,0.0507,0.0557,3350.62
pillow,all,3-5k,unknown,unknown,unknown,anatomic,16260,high,1,Одеяло,367,0.0226,0.0204,0.025,78.79,,,2024-01,65789.63,Наволочка,330,0.0203,0.0182,0.0226,47.52,,,2024-02,0,Другая мебель,193,0.0119,0.0103,0.0137,5107.52,Одеяло,367,0.0226,0.0204,0.025,3490.77
pillow,all,3-5k,unknown,unknown,unknown,down,12149,high,1,Одеяло,606,0.0499,0.0461,0.0539,229.3,Четверг,День (12-17),2024-11,51527.94,Косметика/гигиена,281,0.0231,0.0206,0.026,22.64,,,,,Одеяло,606,0.0499,0.0461,0.0539,4597.02,Постельное белье,159,0.0131,0.0112,0.0153,3635.35
pillow,all,3-5k,unknown,unknown,unknown,memory,67401,high,1,Наволочка,1604,0.0238,0.0227,0.025,45.19,Суббота,Вечер (18-23),2025-07,43833.55,Одеяло,1355,0.0201,0.0191,0.0212,59.02,Вторник,Вечер (18-23),2025-05,36021.95,Другая мебель,921,0.0137,0.0128,0.0146,3814.81,Одеяло,1355,0.0201,0.0191,0.0212,2935.95
pillow,all,3-5k,unknown,unknown,unknown,orthopedic,107810,high,1,Детские товары,2571,0.0238,0.023,0.0248,33.13,Суббота,Ночь (00-05),2025-08,78635.69,Наволочка,2515,0.0233,0.0224,0.0242,37.68,Воскресенье,Ночь (00-05),2025-10,40354.46,Другая мебель,1826,0.0169,0.0162,0.0177,7805.89,Постельное белье,1225,0.0114,0.0107,0.012,3213.06
pillow,all,3-5k,unknown,unknown,unknown,unknown,27598,high,1,Одеяло,1797,0.0651,0.0623,0.0681,314.77,Среда,День (12-17),2025-08,94727.66,Детские товары,1443,0.0523,0.0497,0.055,72.88,Суббота,Ночь (00-05),2025-08,64954.21,Матрас,1424,0.0516,0.049,0.0543,24667.74,Другая мебель,1094,0.0396,0.0374,0.042,12686.32
pillow,all,5-10k,unknown,unknown,40x60,anatomic,174,low,1,Хранение/органайзеры,2,0.0115,0.0032,0.0409,8.6,,,,,Матрас,2,0.0115,0.0032,0.0409,163.69,,,,,Другая мебель,2,0.0115,0.0032,0.0409,8348.75,Одеяло,2,0.0115,0.0032,0.0409,6450.0
