target,channel,price_bin,weekday,hour_bucket,item,segment_checks,item_checks,segment_rate,baseline_rate,lift,lift_clipped,uplift_pp,avg_attach_sum,opportunity_score,expected_value,segment_reliable,segment_rate_ci_low,segment_rate_ci_high
pillow,all,10-20k,Пятница,День (12-17),Основание/ламели,2956,42,0.0142,0.0005,30.169,10.0,1.37,14920.27,605880.02,211.99,1,0.0105,0.0191
pillow,non_marketplace,10-20k,Суббота,День (12-17),Основание/ламели,1516,42,0.0277,0.0005,58.826,10.0,2.72,13504.57,557550.21,374.14,1,0.0206,0.0372
pillow,all,10-20k,Суббота,День (12-17),Основание/ламели,3245,42,0.0129,0.0005,27.482,10.0,1.25,13504.57,546553.65,174.79,1,0.0096,0.0174
pillow,non_marketplace,3-5k,Суббота,День (12-17),Основание/ламели,1654,42,0.0254,0.0005,53.918,10.0,2.49,9367.58,386141.17,237.87,1,0.0188,0.0341
pillow,non_marketplace,3-5k,Воскресенье,Утро (06-11),Кровать/каркас,631,40,0.0634,0.0041,15.533,10.0,5.93,32355.86,1210914.68,2051.08,1,0.0469,0.0852
pillow,non_marketplace,3-5k,Суббота,Вечер (18-23),Кровать/каркас,893,40,0.0448,0.0041,10.976,10.0,4.07,32774.86,1191552.28,1468.08,1,0.0331,0.0604
pillow,non_marketplace,10-20k,Вторник,День (12-17),Основание/ламели,1363,40,0.0293,0.0005,62.314,10.0,2.89,23187.74,912625.08,680.49,1,0.0216,0.0397
pillow,all,10-20k,Вторник,День (12-17),Основание/ламели,2864,40,0.014,0.0005,29.656,10.0,1.35,23187.74,896233.53,323.85,1,0.0103,0.019
mattress,non_marketplace,30-50k,Четверг,Утро (06-11),Основание/ламели,188,40,0.2128,0.0167,12.766,10.0,19.61,13712.22,505524.34,2917.49,1,0.1603,0.2767
mattress,all,30-50k,Четверг,Утро (06-11),Основание/ламели,203,40,0.197,0.0167,11.823,10.0,18.04,13712.22,502096.33,2701.91,1,0.1482,0.2572
pillow,non_marketplace,3-5k,Четверг,День (12-17),Основание/ламели,1327,40,0.0301,0.0005,64.004,10.0,2.97,9465.11,372688.99,285.31,1,0.0222,0.0408
