target,channel_view,channel,pillow_price_bin,price_bin,checks_in_segment,confidence,segment_reliable,cross_sell_top_2,cross_sell_top_3,cross_sell_support_2,cross_sell_support_3,cross_sell_rate_2,cross_sell_rate_3,cross_sell_2_expected_value,cross_sell_3_expected_value,cross2_best_weekday,cross2_best_hour_bucket,cross2_best_month,cross2_best_opportunity_score,cross3_best_weekday,cross3_best_hour_bucket,cross3_best_month,cross3_best_opportunity_score,upsell_top_2,upsell_top_3,upsell_support_2,upsell_support_3,upsell_rate_2,upsell_rate_3,upsell_avg_sum_2,upsell_avg_sum_3,pillow_size,pillow_type,cross_sell_rate_2_ci_low,cross_sell_rate_2_ci_high,cross_sell_rate_3_ci_low,cross_sell_rate_3_ci_high,upsell_rate_2_ci_low,upsell_rate_2_ci_high,upsell_rate_3_ci_low,upsell_rate_3_ci_high
pillow,all,all,1-2k,1-2k,4585,high,1,Одеяло,Косметика/гигиена,118,103,0.0257,0.0225,42.88,14.88,,,,,,,,,Одеяло,Детские товары,118,53,0.0257,0.0116,1666.15,1211.28,60x60,down,0.0215,0.0307,0.0186,0.0272,0.0215,0.0307,0.0088,0.0151
pillow,all,all,1-2k,1-2k,440,medium,1,Косметика/гигиена,Детские товары,44,30,0.1,0.0682,53.51,81.02,,,,,,,,,Наволочка,Косметика/гигиена,57,44,0.1295,0.1,942.09,535.06,60x60,unknown,0.0753,0.1316,0.0482,0.0957,0.1013,0.1642,0.0753,0.1316
pillow,all,all,1-2k,1-2k,48243,high,1,Косметика/гигиена,Постельное белье,3387,2916,0.0702,0.0604,47.15,130.79,Пятница,Ночь (00-05),2025-11,37745.76,Воскресенье,Ночь (00-05),2025-08,118384.54,Другая мебель,Постельное белье,1728,2916,0.0358,0.0604,2533.31,2163.76,70x70,anatomic,0.068,0.0725,0.0584,0.0626,0.0342,0.0375,0.0584,0.0626
pillow,all,all,1-2k,1-2k,297806,high,1,Одеяло,Косметика/гигиена,13878,9120,0.0466,0.0306,80.75,20.39,Понедельник,Вечер (18-23),2024-01,149667.46,Суббота,Ночь (00-05),2024-02,95741.53,Постельное белье,Одеяло,6703,13878,0.0225,0.0466,1979.56,1732.72,70x70,down,0.0458,0.0474,0.03,0.0312,0.022,0.023,0.0458,0.0474
pillow,all,all,1-2k,1-2k,3189,high,1,Постельное белье,Наволочка,156,148,0.0489,0.0464,90.89,49.66,,,,,,,,,Другая мебель,Постельное белье,85,156,0.0267,0.0489,2590.21,1858.04,70x70,memory,0.042,0.057,0.0396,0.0543,0.0216,0.0328,0.042,0.057
pillow,all,all,1-2k,1-2k,5339,high,1,Одеяло,Детские товары,228,218,0.0427,0.0408,73.24,51.95,,,2025-08,26955.6,,,,,Другая мебель,Постельное белье,126,190,0.0236,0.0356,2426.63,2295.03,70x70,orthopedic,0.0376,0.0485,0.0358,0.0465,0.0199,0.028,0.0309,0.0409
pillow,all,all,1-2k,1-2k,20567,high,1,Наволочка,Постельное белье,1150,530,0.0559,0.0258,83.56,50.17,Пятница,Вечер (18-23),2024-02,24097.03,Четверг,Вечер (18-23),2025-05,20839.27,Постельное белье,Одеяло,530,1252,0.0258,0.0609,1946.71,1590.98,70x70,synthetic,0.0529,0.0591,0.0237,0.028,0.0237,0.028,0.0577,0.0642
pillow,all,all,1-2k,1-2k,371954,high,1,Наволочка,Постельное белье,24974,21413,0.0671,0.0576,89.85,115.88,Суббота,Ночь (00-05),2024-01,102660.1,Суббота,Ночь (00-05),2025-08,784397.92,Другая мебель,Постельное белье,11399,21413,0.0306,0.0576,2798.19,2012.91,70x70,unknown,0.0663,0.068,0.0568,0.0583,0.0301,0.0312,0.0568,0.0583
pillow,all,all,1-2k,1-2k,50420,high,1,Наволочка,Одеяло,1100,940,0.0218,0.0186,30.43,35.94,Воскресенье,Вечер (18-23),2024-08,22396.22,Среда,Вечер (18-23),2024-08,17016.31,Одеяло,Наволочка,940,1100,0.0186,0.0218,1927.79,1394.75,unknown,anatomic,0.0206,0.0231,0.0175,0.0199,0.0175,0.0199,0.0206,0.0231
pillow,all,all,1-2k,1-2k,40893,high,1,Одеяло,Косметика/гигиена,1258,1126,0.0308,0.0275,64.75,21.67,Четверг,Вечер (18-23),2024-05,27877.07,Вторник,Вечер (18-23),2025-12,13246.27,Постельное белье,Одеяло,463,1258,0.0113,0.0308,2353.58,2104.85,unknown,down,0.0291,0.0325,0.026,0.0292,0.0103,0.0124,0.0291,0.0325
pillow,all,all,1-2k,1-2k,544758,high,1,Детские товары,Наволочка,9344,8754,0.0172,0.0161,19.14,20.04,Суббота,Ночь (00-05),2025-12,174874.35,Понедельник,Ночь (00-05),2024-07,75855.25,Одеяло,Наволочка,5685,8754,0.0104,0.0161,1939.74,1246.82,unknown,memory,0.0168,0.0175,0.0157,0.0164,0.0102,0.0107,0.0157,0.0164
pillow,all,all,1-2k,1-2k,647949,high,1,Детские товары,Наволочка,15640,12290,0.0241,0.019,27.69,20.74,Суббота,Ночь (00-05),2025-12,448302.22,Суббота,Ночь (00-05),2025-08,86372.9,Другая мебель,Постельное белье,9465,6616,0.0146,0.0102,2745.84,2044.58,unknown,orthopedic,0.0238,0.0245,0.0186,0.0193,0.0143,0.0149,0.01,0.0105
pillow,all,all,1-2k,1-2k,1570,medium,1,Одеяло,Наматрасник/топпер,34,28,0.0217,0.0178,46.01,43.58,,,,,,,,,Одеяло,Косметика/гигиена,34,23,0.0217,0.0146,2124.4,952.77,unknown,synthetic,0.0155,0.0301,0.0124,0.0257,0.0155,0.0301,0.0098,0.0219
pillow,all,all,1-2k,1-2k,78164,high,1,Детские товары,Наволочка,5305,4929,0.0679,0.0631,79.02,79.25,Четверг,Ночь (00-05),2025-08,166095.6,Вторник,Ночь (00-05),2024-02,33764.94,Матрас,Другая мебель,2550,2991,0.0326,0.0383,15561.11,4145.07,unknown,unknown,0.0661,0.0697,0.0614,0.0648,0.0314,0.0339,0.0369,0.0396
pillow,all,all,2-3k,2-3k,446,low,1,Наволочка,Одеяло,12,5,0.0269,0.0112,44.43,30.02,,,,,,,,,Постельное белье,Хранение/органайзеры,3,3,0.0067,0.0067,3435.0,3100.33,40x60,anatomic,0.0155,0.0464,0.0048,0.026,0.0023,0.0196,0.0023,0.0196
pillow,all,all,2-3k,2-3k,513,low,1,Одеяло,Косметика/гигиена,20,20,0.039,0.039,142.51,34.73,,,,,,,,,Наволочка,Косметика/гигиена,34,20,0.0663,0.039,1659.79,890.84,40x60,down,0.0254,0.0594,0.0254,0.0594,0.0478,0.0912,0.0254,0.0594
pillow,all,all,2-3k,2-3k,53198,high,1,Наволочка,Одеяло,1110,801,0.0209,0.0151,29.16,39.86,Понедельник,День (12-17),2024-08,21779.87,Среда,День (12-17),2024-05,28986.25,Наволочка,Детские товары,1110,607,0.0209,0.0114,1397.31,1215.85,40x60,memory,0.0197,0.0221,0.0141,0.0161,0.0197,0.0221,0.0105,0.0123
pillow,all,all,2-3k,2-3k,6474,high,1,Наволочка,Детские товары,189,186,0.0292,0.0287,34.01,35.43,,,,,,,,,Другая мебель,Наматрасник/топпер,104,83,0.0161,0.0128,2304.06,2196.9,40x60,orthopedic,0.0254,0.0336,0.0249,0.0331,0.0133,0.0194,0.0104,0.0159
pillow,all,all,2-3k,2-3k,824,medium,1,Одеяло,Детские товары,50,49,0.0607,0.0595,135.87,62.25,,,,,,,,,Постельное белье,Детские товары,38,49,0.0461,0.0595,2236.3,1046.8,40x60,unknown,0.0463,0.0791,0.0453,0.0777,0.0338,0.0627,0.0453,0.0777
pillow,all,all,2-3k,2-3k,42540,high,1,Наволочка,Косметика/гигиена,3377,2387,0.0794,0.0561,151.49,47.36,Четверг,Вечер (18-23),2024-08,41662.54,Воскресенье,Ночь (00-05),2025-08,37960.39,Другая мебель,Постельное белье,1301,1750,0.0306,0.0411,3632.81,3397.02,50x70,anatomic,0.0769,0.082,0.054,0.0583,0.029,0.0323,0.0393,0.0431
pillow,all,all,2-3k,2-3k,87921,high,1,Наволочка,Косметика/гигиена,4959,2897,0.0564,0.033,115.72,30.43,Среда,Ночь (00-05),2024-04,51921.95,Вторник,Ночь (00-05),2025-07,44204.24,Постельное белье,Одеяло,1422,5204,0.0162,0.0592,3309.21,2948.96,50x70,down,0.0549,0.0579,0.0318,0.0342,0.0154,0.017,0.0576,0.0608
